	DRS000419	DRS000420	DRS000668	DRS001349	DRS002153	DRS002154	DRS002155	DRS002156	DRS002157	DRS002158	DRS002159	DRS002160	DRS002161	DRS002162	DRS002163
LOC_Os01g01010	224.1652	118.1951	408.44975	45.3497	75.0254	67.322	42.0681	58.731	69.4817	60.1309	81.953	64.2586	69.7924	57.8327	71.576
LOC_Os01g01019	14.463891	12.97939	20.478156	0.759193	6.59852	3.516003	3.208322	2.989196	30.36903	9.37181	10.77599	6.39299	30.66077	7.142489	11.17348
LOC_Os01g01030	119.48739	45.81797	231.762806	14.8759	31.56986	26.91512	15.67032	14.67041	38.85617	32.79899	10.59507	13.83366	38.49689	30.46909	9.73132
LOC_Os01g01040	494.692	207.5252	679.46353	46.6266	126.4749	130.0218	76.6326	84.5804	125.6198	116.8201	65.6787	77.462	112.037	124.9756	61.9345
LOC_Os01g01050	306.9658	123.48516	431.28137	95.9904	82.2364	69.6416	44.9043	51.7406	76.0165	71.4439	43.7667	47.602	81.8366	73.6368	37.7546
LOC_Os01g01060	1701.9928	789.0251	2311.0299	151.3572	359.3695	388.2731	214.4124	228.078	356.8014	369.2449	197.0778	210.8942	400.4364	422.6189	220.2577
LOC_Os01g01070	207.50573	131.27878	423.46724	31.91343	77.7618	80.2913	47.6896	50.5811	114.6695	127.0188	93.5137	91.0499	118.3589	125.7744	76.332
LOC_Os01g01080	1281.0394	469.8359	1711.3273	153.0069	274.392	348.4736	135.6963	169.519	287.2573	383.4959	148.0047	170.71	286.4516	385.0768	150.1008
LOC_Os01g01115	13.541097	7.516774	30.506535	0.314266	4.448098	5.70564	4.02286	4.19669	4.454461	4.521432	3.46713	4.22882	3.247832	5.677438	3.371705
LOC_Os01g01120	183.54727	808.5991	774.9777	140.6019	30.32281	26.21953	166.5919	156.4657	59.2921	48.17425	193.6199	126.6652	41.83261	43.00226	158.1878
LOC_Os01g01130	146.60296	78.68295	279.22819	23.62628	42.72726	41.82034	23.95748	30.25608	28.55605	34.26552	19.70412	22.57641	29.11079	33.77999	23.51662
LOC_Os01g01150	319.7941	292.7983	874.0806	99.291	101.561	90.3033	88.503	107.3905	103.4063	70.2614	97.8181	92.958	113.9758	75.6019	99.7438
LOC_Os01g01160	262.569	460.5967	1035.86658	144.2213	40.75072	38.83113	46.0418	91.8379	47.78382	37.22882	44.27926	69.9615	38.11469	28.09499	31.96224
LOC_Os01g01170	44.703947	22.51407	60.368653	5.7705	13.70812	8.11231	7.43313	6.7742	9.72249	8.63841	5.53319	7.22858	14.87064	9.063364	4.48121
LOC_Os01g01190	67.235279	36.101108	198.831891	1.45418	13.12268	12.50079	13.00671	10.0806	16.91596	22.8857	6.703262	3.998485	12.88471	21.09228	9.58777
LOC_Os01g01280	66.355773	236.3694	611.096949	96.3571	15.20896	13.04417	33.2628	51.7993	17.17614	9.038629	25.81967	40.8962	18.81362	6.2071	31.45635
LOC_Os01g01295	181.53685	111.29882	437.29185	36.7905	55.0429	46.31309	37.1176	47.7538	51.7984	55.1295	40.8129	44.4771	66.9122	53.5988	38.7096
LOC_Os01g01302	232.24655	937.3159	1293.03994	83.5146	57.8773	31.3844	260.7711	194.3856	66.8249	68.0263	299.5163	215.66	77.3439	32.47971	282.8782
LOC_Os01g01307	2009.493	677.0665	2658.1006	144.2471	380.4532	438.264	207.5473	198.3325	375.4249	410.6178	178.3398	214.4599	402.9275	421.0099	211.7223
