	DRS000419	DRS000420	DRS000668	DRS001349	DRS002153	DRS002154	DRS002155	DRS002156	DRS002157	DRS002158	DRS002159	DRS002160	DRS002161	DRS002162	DRS002163
LOC_Os01g01010	1048	575	3743	116	671	624	365	612	572	482	667	618	632	518	659
LOC_Os01g01019	23	22	66	1	23	13	9	11	81	25	29	25	101	24	33
LOC_Os01g01030	429	179	1837	30	230	201	107	125	257	215	67	109	288	219	73
LOC_Os01g01040	1904	821	4867	89	941	977	536	728	831	799	448	637	851	932	480
LOC_Os01g01050	895	410	2554	156	484	426	257	363	428	388	240	321	502	436	242
LOC_Os01g01060	2186	975	5674	95	831	925	488	631	753	772	400	532	946	960	526
LOC_Os01g01070	524	326	2045	43	355	374	220	285	566	624	453	568	645	674	426
LOC_Os01g01080	3913	1481	9832	239	1556	2016	758	1168	1490	1981	784	1106	1672	2186	916
LOC_Os01g01115	50	32	231	1	32	45	28	37	31	30	23	33	25	41	26
LOC_Os01g01120	254	928	1774	119	71	67	347	427	124	101	405	315	99	98	399
LOC_Os01g01130	374	211	1335	34	216	225	134	189	134	155	102	139	147	183	129
LOC_Os01g01150	1968	1925	10423	356	1267	1131	1074	1503	1176	782	1108	1213	1479	918	1279
LOC_Os01g01160	426	765	2608	117	127	121	129	322	134	109	121	232	134	95	112
LOC_Os01g01170	159	88	451	13	103	59	49	53	68	56	34	54	108	62	35
LOC_Os01g01190	219	111	1265	1	70	66	66	62	81	111	29	23	71	112	56
LOC_Os01g01280	123	420	1783	90	50	44	103	200	49	27	75	146	64	20	109
LOC_Os01g01295	518	329	2357	54	289	250	182	290	248	258	197	250	358	287	208
LOC_Os01g01302	394	1554	3815	84	182	102	778	703	196	197	834	730	242	106	888
LOC_Os01g01307	2694	945	7225	108	1035	1183	609	690	931	977	449	648	1112	1110	642
LOC_Os01g01312	1082	455	3264	68	622	550	253	398	775	581	501	653	817	720	562
LOC_Os01g01330	31	26	241	10	27	36	18	38	13	19	9	16	24	23	18
LOC_Os01g01340	689	2049	6831	2326	1183	1060	2160	3325	1669	2349	1465	3099	1996	2072	1970
LOC_Os01g01350	341	133	1217	28	154	174	77	154	199	146	63	148	171	196	64
LOC_Os01g01360	271	284	1236	129	114	111	80	172	102	49	82	128	145	60	101
LOC_Os01g01369	3176	755	5712	54	1504	1354	531	675	1305	1102	389	635	1423	1166	466
LOC_Os01g01380	192	124	804	7	185	180	119	132	66	45	37	71	72	45	34
LOC_Os01g01390	816	568	3773	119	321	370	314	554	340	334	256	480	348	390	280
LOC_Os01g01400	29	9	107	2	23	25	10	13	29	22	6	13	30	25	13
LOC_Os01g01410	570	416	3371	73	241	321	255	424	268	280	207	416	319	281	287
LOC_Os01g01420	1240	1372	5478	259	597	603	686	804	613	657	723	830	656	640	772
LOC_Os01g01430	267	36	581	0	152	212	10	23	74	111	6	53	93	98	11
LOC_Os01g01450	4603	2868	14166	297	1280	2043	1162	1860	1045	1571	830	1278	1040	1734	864
LOC_Os01g01484	593	931	3131	114	336	324	589	546	234	230	473	375	279	237	484
LOC_Os01g01510	1339	451	4515	61	696	729	294	509	613	495	214	387	747	701	304
LOC_Os01g01520	1557	251	2352	16	795	709	153	145	485	359	43	66	575	319	60
LOC_Os01g01570	94	45	476	21	34	32	16	25	14	11	9	10	15	8	14
LOC_Os01g01580	7	4	40	1	7	2	1	2	2	0	3	4	5	5	1
LOC_Os01g01600	38	25	239	1	12	19	18	20	14	23	8	9	24	28	8
LOC_Os01g01610	52	58	479	4	23	39	24	40	9	30	25	37	10	35	31
LOC_Os01g01620	2239	1111	6069	223	1038	965	754	717	806	726	715	602	723	867	772
LOC_Os01g01640	1518	685	4662	89	581	758	402	542	376	434	254	419	440	542	314
LOC_Os01g01650	110	1344	3195	1	20	74	467	625	2	10	164	215	7	18	207
LOC_Os01g01660	355	642	5915	46	32	227	262	428	30	147	54	132	33	239	124
LOC_Os01g01670	299	113	2002	27	140	179	74	140	175	151	72	164	205	206	97
LOC_Os01g01680	89	62	381	10	31	26	27	36	20	27	20	51	31	18	34
LOC_Os01g01689	1439	769	9236	171	1240	1032	828	1217	1013	644	519	650	1203	811	605
LOC_Os01g01700	1979	796	5644	114	673	719	384	515	652	697	333	526	718	712	368
LOC_Os01g01710	2379	4137	13730	368	928	1361	1719	2114	940	1453	2098	2006	981	1100	1898
LOC_Os01g01720	881	589	3487	107	478	548	405	464	495	560	466	501	526	565	514
LOC_Os01g01740	512	146	2131	26	244	305	160	180	272	238	116	203	282	283	155
LOC_Os01g01780	68	83	545	5	51	50	71	95	47	46	69	82	56	44	65
LOC_Os01g01790	1701	2542	9878	383	1041	881	1493	1428	984	810	1479	1302	1076	863	1672
LOC_Os01g01800	970	688	3942	65	577	597	488	592	510	576	525	595	503	579	500
LOC_Os01g01830	2262	1427	7746	162	1229	1158	930	1204	1117	949	834	953	1297	1076	948
LOC_Os01g01840	2	648	400	5	1	1	71	280	0	0	300	146	0	0	56
LOC_Os01g01870	165	500	1527	126	113	148	284	446	71	136	394	373	130	120	193
LOC_Os01g01890	187	116	982	2	130	102	60	95	131	114	47	86	181	118	49
LOC_Os01g01910	147	95	691	50	76	170	54	122	61	165	68	128	102	130	62
LOC_Os01g01920	663	822	3828	67	274	396	407	673	261	346	360	484	288	353	324
LOC_Os01g01940	1	11	224	4	4	2	7	14	2	2	6	9	1	3	4
LOC_Os01g01960	6585	4814	25605	688	4250	3612	3172	3419	3505	2742	2953	2876	4151	3217	3415
LOC_Os01g01970	373	203	1589	28	230	268	181	208	268	298	178	270	290	306	185
LOC_Os01g02000	177	43	989	5	86	162	26	43	77	134	34	22	105	152	15
LOC_Os01g02010	904	380	2532	1	97	292	189	170	123	288	138	156	139	385	165
LOC_Os01g02020	1784	889	4351	531	744	661	392	450	622	632	304	433	784	759	516
LOC_Os01g02040	461	296	2240	8	290	314	305	339	249	361	200	352	359	472	263
LOC_Os01g02050	24	36	3764	4	12	23	18	30	11	7	21	31	23	34	16
LOC_Os01g02060	37	404	1758	3	23	18	287	401	29	19	212	413	21	29	230
LOC_Os01g02080	135	603	1487	294	63	53	262	306	134	118	388	323	139	58	376
LOC_Os01g02090	3043	1871	12635	372	1665	1470	1102	1428	1512	1319	1037	1302	1792	1524	1260
LOC_Os01g02100	457	373	2397	73	296	257	228	340	264	199	225	255	318	228	265
LOC_Os01g02130	103	25	288	2	29	20	23	7	19	28	61	41	48	54	40
LOC_Os01g02139	496	287	1379	9	194	275	124	230	204	378	127	282	249	381	178
LOC_Os01g02150	2041	1143	5610	23	629	881	467	696	646	1069	557	853	718	1134	573
LOC_Os01g02160	132	6	606	0	27	54	0	5	49	82	2	4	46	102	8
LOC_Os01g02170	251	103	1180	29	99	79	38	57	60	71	19	39	82	71	35
LOC_Os01g02180	517	216	2501	53	325	307	134	228	425	377	171	292	505	404	226
LOC_Os01g02200	1504	931	5402	175	1028	1191	596	772	1190	1186	490	681	1158	1163	724
LOC_Os01g02290	187	79	1189	7	214	112	129	40	229	145	157	55	323	228	169
LOC_Os01g02300	106	38	921	3	102	90	143	37	188	172	186	56	227	244	203
LOC_Os01g02310	71	101	533	36	51	79	44	127	26	59	5	16	40	43	2
LOC_Os01g02320	271	245	1746	42	222	205	180	245	154	147	75	129	197	174	74
LOC_Os01g02334	212	95	734	2	105	92	53	60	103	121	113	82	138	156	53
LOC_Os01g02350	586	117	1482	14	353	406	79	134	267	209	54	82	344	336	85
LOC_Os01g02360	167	85	761	16	120	101	75	87	106	49	46	47	129	106	58
LOC_Os01g02370	1	105	607	11	3	0	46	180	0	0	0	0	0	0	0
LOC_Os01g02390	1054	494	2078	81	700	371	275	227	417	268	229	318	548	354	261
LOC_Os01g02400	208	464	1677	65	178	114	373	317	73	62	127	159	102	72	160
LOC_Os01g02420	62	59	451	1	51	47	39	40	64	52	36	40	44	47	35
LOC_Os01g02430	4	7	62	0	9	4	2	3	5	1	2	0	5	0	1
LOC_Os01g02470	4	10	65	3	7	8	4	11	6	5	8	11	9	5	11
LOC_Os01g02490	12	90	700	11	17	15	80	102	3	3	7	10	1	0	4
LOC_Os01g02500	151	98	997	60	148	104	87	103	16	10	15	26	19	12	24
LOC_Os01g02520	17	11	111	15	15	18	10	25	0	0	0	0	0	0	0
LOC_Os01g02530	32	22	113	4	19	13	13	11	0	0	0	0	0	0	0
LOC_Os01g02550	20	49	180	2	16	15	41	149	1	0	14	35	0	0	7
LOC_Os01g02560	55	156	663	1	51	27	203	282	0	0	24	24	0	0	8
LOC_Os01g02570	0	89	753	1	1	0	60	98	17	13	97	247	20	14	107
LOC_Os01g02580	2	74	392	2	1	0	42	103	8	4	102	202	9	2	39
LOC_Os01g02590	310	181	945	14	169	242	105	174	70	62	84	130	100	84	80
LOC_Os01g02600	126	177	756	3	52	66	66	134	92	92	116	189	122	146	94
LOC_Os01g02690	34	32	303	2	28	25	25	33	0	0	0	0	0	0	0
LOC_Os01g02700	26	335	812	42	6	10	80	210	20	13	109	209	22	21	164
LOC_Os01g02710	40	382	1076	31	6	20	64	232	24	11	50	185	13	15	53
LOC_Os01g02720	740	475	4588	148	489	496	393	559	576	532	458	516	685	513	488
LOC_Os01g02730	72	66	609	7	43	39	29	13	187	173	87	113	215	185	114
LOC_Os01g02740	90	49	284	14	27	16	25	13	0	0	1	0	0	0	0
LOC_Os01g02750	121	93	522	10	67	40	52	34	65	52	23	16	93	66	31
LOC_Os01g02760	10	95	311	18	7	6	32	83	30	34	34	84	38	37	45
