	DRS000419	DRS000420	DRS000668	DRS001349	DRS002153	DRS002154	DRS002155	DRS002156	DRS002157	DRS002158	DRS002159	DRS002160	DRS002161	DRS002162	DRS002163
LOC_Os01g01010	160.0002885	171.9697306	184.0914792	212.53007	208.8077531	194.4801195	167.4354644	236.3506189	190.9952403	173.3839006	326.2496869	262.4054281	187.6301274	165.1805249	270.329286
LOC_Os01g01019	3.511456714	6.579711432	3.246069363	1.832155776	7.157344742	4.051669155	4.128545699	4.24813204	27.04652879	8.992940902	14.184769	10.61510631	29.98519441	7.653151734	13.53697487
LOC_Os01g01030	65.49630131	53.53492483	90.3489306	54.96467327	71.57344742	62.64503848	49.08382108	48.27422772	85.81429504	77.33929176	32.77170768	46.28186353	85.50233655	69.83500958	29.94542926
LOC_Os01g01040	290.6875471	245.5428675	239.3730241	163.061864	292.8287566	304.4985204	245.8778327	281.1491023	277.4773509	287.4143912	219.1302245	270.4729089	252.6475292	297.1973923	196.9014526
LOC_Os01g01050	136.6414678	122.6218949	125.6130478	285.816301	150.6154285	132.7700816	117.8929161	140.1883573	142.9125225	139.5704428	117.3911917	136.2979651	149.0353227	139.0322565	99.27114904
LOC_Os01g01060	333.7410598	291.6008476	279.0635995	174.0547987	258.5979774	288.2918438	223.8589223	243.6883016	251.4325454	277.7020151	195.6519862	225.8894624	280.8514249	306.1260694	215.7711752
LOC_Os01g01070	80.00014426	97.49936031	100.5789674	78.78269836	110.4720602	116.5634049	100.920006	110.0652392	188.9917937	224.4638049	221.5758743	241.1752154	191.4896079	214.9260112	174.7500392
LOC_Os01g01080	597.4056574	442.9342105	483.5659693	437.8852304	484.2099313	628.320386	347.7152933	451.0743839	497.5225666	712.6006371	383.4778929	469.6123033	496.3885649	697.0745705	375.7536055
LOC_Os01g01115	7.633601552	9.570489356	11.36124277	1.832155776	9.958044859	14.02500862	12.8443644	14.28917141	10.35114065	10.79152908	11.24998921	14.01194033	7.422077825	13.07413421	10.66549535
LOC_Os01g01120	38.77869588	277.5441913	87.25040984	218.0265373	22.09441203	20.88167949	159.178373	164.9047619	41.40456259	36.33148124	198.097636	133.7503396	29.39142819	31.25036958	163.6743325
LOC_Os01g01130	57.09933961	63.10541419	65.65913029	62.29329638	67.2168028	70.12504308	61.46945818	72.99063232	44.74364021	55.75623359	49.89125647	59.0199911	43.64181761	58.35528197	52.9172654
LOC_Os01g01150	300.4585571	575.7247503	512.633045	652.2474562	394.2763386	352.4952165	492.67312	580.4493142	392.675529	281.2991914	541.9560017	515.0449583	439.0901241	292.7330538	524.660329
LOC_Os01g01160	65.03828522	228.7945112	128.2689227	214.3622258	39.52099053	37.71168983	59.17582168	124.3544106	44.74364021	39.20922233	59.18472582	98.50818659	39.78233714	30.29372561	45.94367228
LOC_Os01g01170	24.27485293	26.31884573	22.18147398	23.81802509	32.05245689	18.38834463	22.47763769	20.46827256	22.70572787	20.14418762	16.63041882	22.92862964	32.0633762	19.77064198	14.35739759
LOC_Os01g01190	33.4351748	33.19763495	62.21632945	1.832155776	21.78322313	20.57001264	30.27600179	23.94401695	27.04652879	39.92865761	14.184769	9.765897809	21.07870102	35.71470809	22.97183614
