	DRS000419	DRS000420	DRS000668	DRS001349	DRS002153	DRS002154	DRS002155	DRS002156	DRS002157	DRS002158	DRS002159	DRS002160	DRS002161	DRS002162	DRS002163
LOC_Os01g01010	1030.829145	588.0312991	3033.797368	138.1218793	596.6664764	555.433378	352.9096114	550.4688027	511.3874198	433.661589	681.0235049	553.2966265	553.7589277	462.1445047	641.5171098
LOC_Os01g01019	22.62315871	22.49858883	53.49469043	1.190705856	20.45205508	11.57152871	8.701880829	9.894047107	72.41675001	22.49282101	29.6097176	22.38254962	88.49628433	21.4121006	32.12452902
LOC_Os01g01030	421.9710907	183.0567001	1488.93555	35.72117569	204.5205508	178.9136362	103.4556943	112.4323535	229.7667253	193.4382606	68.40865791	97.58791633	252.3458405	195.385418	71.06335207
LOC_Os01g01040	1872.804095	839.6064288	3944.828156	105.9728212	836.7558187	869.6448883	518.2453471	654.8060267	742.942213	718.8705593	457.4190857	570.3073642	745.6469105	831.5032401	467.2658766
LOC_Os01g01050	880.3359585	419.2918828	2070.082414	185.7501136	430.3823765	379.1900946	248.4870414	326.5035545	382.6465309	349.088582	245.0459388	287.3919371	439.8528191	388.9864943	235.5798795
LOC_Os01g01060	2150.183693	997.0965506	4598.922326	113.1170564	738.9416422	823.3587735	471.835316	567.5585204	673.2075649	694.5783127	408.409898	476.3006559	828.8859898	856.4840241	512.0455231
LOC_Os01g01070	515.4145724	333.38818	1657.524878	51.20035182	315.673024	332.9039798	212.7126425	256.3457659	506.0232161	561.4208123	462.5242095	508.5315273	565.1495385	601.3231586	414.6984655
LOC_Os01g01080	3848.887828	1514.564094	7969.087822	284.5786997	1383.625987	1794.477067	732.8917409	1050.567911	1332.110587	1782.331136	800.4834	990.2039951	1465.007796	1950.285497	891.6990479
LOC_Os01g01115	49.18077981	32.72522012	187.2314165	1.190705856	28.45503315	40.05529168	27.07251813	33.27997663	27.71505247	26.99138521	23.48356913	29.54496549	21.90502087	36.5790052	25.31023498
LOC_Os01g01120	249.8383614	949.0313835	1437.872437	141.6939969	63.13460481	59.63787873	335.5058497	384.0689195	110.8602099	90.87099686	413.5150217	282.0201252	86.74388266	87.43274413	388.4147599
LOC_Os01g01130	367.872233	215.7819202	1082.051693	40.48399912	192.0714738	200.2764584	129.5613368	169.9977185	119.8005494	139.4554902	104.144524	124.4469759	128.8015227	163.2672671	125.5777043
LOC_Os01g01150	1935.755493	1968.626523	8448.108459	423.8912849	1126.641469	1006.722998	1038.424446	1351.886618	1051.383926	703.5754411	1131.295417	1086.001307	1295.901035	819.0128481	1245.068867
LOC_Os01g01160	419.020244	782.3372935	2113.850797	139.3125852	112.9309128	107.7042287	124.7269585	289.6257426	119.8005494	98.06869959	123.5439941	207.7100604	117.4109119	84.75623155	109.0287045
LOC_Os01g01170	156.3948798	89.99435534	365.5470513	15.47917613	91.58963796	52.51693799	47.37690673	47.67131788	60.79430865	50.38391905	34.71484133	48.34630717	94.62969017	55.31459323	34.07147017
LOC_Os01g01190	215.4118156	113.5156073	1025.3149	1.190705856	62.24538502	58.74776114	63.81379274	55.76644733	72.41675001	99.86812527	29.6097176	20.59194565	62.21025928	99.92313615	54.51435227
LOC_Os01g01280	120.9847183	429.5185141	1445.167167	107.1635271	44.4609893	39.16517409	99.58819171	179.8917656	43.80766358	24.29224669	76.57685587	130.7140898	56.07685344	17.84341717	106.1082928
LOC_Os01g01295	509.5128788	336.4561694	1910.408869	64.29811624	256.9845182	222.5293982	175.9713679	260.8430601	221.7204198	232.1259128	201.1418748	223.8254962	313.6798989	256.0530364	202.4818799
LOC_Os01g01302	387.5445449	1589.218502	3092.155212	100.0192919	161.8380011	90.79199448	752.2292539	632.319556	175.2306543	177.2434295	851.5346373	653.5704488	212.0406021	94.570111	864.4418717
LOC_Os01g01307	2649.860416	966.4166567	5856.047551	128.5962325	920.3424786	1053.009112	588.8272694	620.6265912	832.3456081	879.0194449	458.4401105	580.1556861	974.3353284	990.3096529	624.96811
LOC_Os01g01312	1064.272075	465.3117236	2645.555599	80.96799823	553.0947069	489.5646761	244.6195388	357.9846135	692.8763118	522.7331602	511.5333972	584.632196	715.8560821	642.3630181	547.0904639
LOC_Os01g01330	30.49208348	26.58924135	195.3366726	11.90705856	24.00893422	32.04423335	17.40376166	34.17943546	11.62244136	17.09454396	9.189222705	14.32483175	21.02882004	20.51992974	17.52247037
LOC_Os01g01340	677.7111457	2095.436751	5536.700459	2769.581822	1051.947007	943.5246486	2088.451399	2990.700603	1492.142664	2113.425462	1495.801251	2774.540851	1748.896867	1848.578019	1917.737035
LOC_Os01g01350	335.4129183	136.0141961	986.4096705	33.33976398	136.9398471	154.8804612	74.44942487	138.5166595	177.9127562	131.3580747	64.32455893	132.5046937	149.8303428	174.8654883	62.30211688
LOC_Os01g01360	266.5598266	290.4363286	1001.809657	153.6010555	101.3710556	98.80305282	77.35005181	154.7069184	91.19146297	44.08592917	83.72402909	114.598654	127.0491211	53.53025151	98.3205282
LOC_Os01g01369	3123.963133	772.1106622	4629.722299	64.29811624	1337.386558	1205.219221	513.4109689	607.1347088	1166.714306	991.4835499	397.1786258	568.5167603	1246.833788	1040.271221	453.6372885
LOC_Os01g01380	188.8541945	126.810228	651.6625925	8.334940995	164.5056604	160.2211667	115.0582021	118.7285653	59.00624075	40.48707781	37.77791556	63.56644091	63.08646011	40.14768863	33.09799959
LOC_Os01g01390	802.6303264	580.8726572	3058.113136	141.6939969	285.4395513	329.3435094	303.5989534	498.3001906	303.9715432	300.5040886	261.3823347	429.7449526	304.9178906	347.9466348	272.5717614
LOC_Os01g01400	28.52485229	9.203968159	86.72624054	2.381411713	20.45205508	22.25293982	9.668756476	11.69296476	25.92698457	19.79368249	6.12614847	11.6389258	26.28602505	22.30427146	12.65511749
LOC_Os01g01410	560.6608898	425.4278616	2732.28184	86.92152752	214.3019684	285.7277473	246.5532901	381.370543	239.6010988	251.9195953	211.3521222	372.4456256	279.5080663	250.7000112	279.3860554
LOC_Os01g01420	1219.683339	1403.093813	4440.059305	308.3928168	530.8642123	536.7409086	663.2766943	723.1648976	548.0428118	591.111336	738.2008906	743.1006473	574.7877477	570.9893494	751.5192849
LOC_Os01g01430	262.6253642	36.81587264	470.9153809	0	135.1614075	188.7049297	9.668756476	20.68755304	66.15851235	99.86812527	6.12614847	47.45100519	81.48667765	87.43274413	10.70817634
LOC_Os01g01450	4527.582589	2932.997853	11481.90583	353.6396393	1138.201326	1818.510242	1123.509503	1672.99342	934.2654785	1413.448872	847.4505383	1144.195936	911.2488683	1547.024269	841.0785779
LOC_Os01g01484	583.2840485	952.0993729	2537.755693	135.7404676	298.7778481	288.3981001	569.4897565	491.10452	209.2039445	206.9339533	482.9447044	335.7382443	244.4600329	211.4444935	471.1597589
LOC_Os01g01510	1317.061283	461.2210711	3659.523141	72.63305724	618.8969711	648.8957253	284.2614404	457.8245434	548.0428118	445.3578559	218.4992954	346.4818681	654.5220237	625.4117718	295.9350552
LOC_Os01g01520	1531.489483	256.6884453	1906.356241	19.0512937	706.9297299	631.0933734	147.9319741	130.42153	433.6064661	322.9969096	43.90406403	59.08993099	503.8154801	284.6025039	58.40823458
LOC_Os01g01570	92.45986604	46.0198408	385.8101916	25.00482298	30.23347273	28.48376298	15.47001036	22.4864707	12.51647531	9.896841243	9.189222705	8.953019847	13.14301252	7.137366868	13.62858807
LOC_Os01g01580	6.885309173	4.090652515	32.4210245	1.190705856	6.224538502	1.780235186	0.966875648	1.798917656	1.788067901	0	3.063074235	3.581207939	4.381004175	4.460854292	0.973470576
LOC_Os01g01600	37.37739265	25.56657822	193.7156214	1.190705856	10.67063743	16.91223427	17.40376166	17.98917656	12.51647531	20.69339533	8.16819796	8.057717862	21.02882004	24.98078404	7.78776461
LOC_Os01g01610	51.148011	59.31446147	388.2417684	4.762823426	20.45205508	34.71458613	23.20501554	35.97835312	8.046305556	26.99138521	25.52561862	33.12617343	8.762008349	31.22598005	30.17758786
LOC_Os01g01620	2202.31532	1136.178736	4919.079942	265.527406	923.0101379	858.9634772	729.0242383	644.9119796	720.5913643	653.191522	730.0326926	538.9717948	633.4932037	773.5121343	751.5192849
LOC_Os01g01640	1493.128475	700.5242432	3778.670406	105.9728212	516.6366957	674.7091355	388.6840103	487.5066847	336.1567655	390.4753727	259.3402852	375.1315316	385.5283674	483.5566053	305.6697609
LOC_Os01g01650	108.1977156	1374.459245	2589.629332	1.190705856	17.78439572	65.86870188	451.5309274	562.1617674	1.788067901	8.997128402	167.4480582	192.4899267	6.133405844	16.05907545	201.5084093
LOC_Os01g01660	349.1835366	656.5497287	4794.258998	54.77246939	28.45503315	202.0566936	253.3214197	384.9683783	26.82101852	132.2577875	55.13533623	118.179862	28.91462755	213.2288352	120.7103515
LOC_Os01g01670	294.1010632	115.5609336	1622.672276	32.14905812	124.49077	159.3310491	71.54879792	125.9242359	156.4559414	135.8566389	73.51378164	146.8295255	179.6211712	183.7871968	94.4266459
LOC_Os01g01680	87.54178806	63.40511399	308.8102584	11.90705856	27.56581337	23.14305742	26.10564249	32.3805178	17.88067901	24.29224669	20.4204949	45.66040122	27.16222588	16.05907545	33.09799959
LOC_Os01g01689	1415.422843	786.4279461	7486.014557	203.6107014	1102.632535	918.6013559	800.5730362	1094.641394	905.656392	579.4150691	529.9118426	581.94629	1054.069604	723.5505662	588.9496986
LOC_Os01g01700	1946.575265	814.0398505	4574.606557	135.7404676	598.444916	639.9945493	371.2802487	463.2212964	582.9101358	627.0998496	340.0012401	470.9288439	629.1121995	635.2256512	358.2371721
LOC_Os01g01710	2340.021503	4230.757364	11128.51666	438.1797551	825.1959615	1211.450044	1662.059238	1901.455962	840.3919136	1307.282757	2142.109915	1795.975781	859.5530191	981.3879443	1847.647154
LOC_Os01g01720	866.5653402	602.3485829	2826.302811	127.4055266	425.0470577	487.784441	391.5846373	417.3488961	442.5468056	503.8391905	475.7975311	448.5462943	460.8816392	504.076535	500.3638762
LOC_Os01g01740	503.6111852	149.3088168	1727.23008	30.95835227	216.9696278	271.4858659	154.7001036	161.902589	243.1772346	214.131656	118.4388704	181.7463029	247.0886354	252.4843529	150.8879393
LOC_Os01g01780	66.88586054	84.88103969	441.7364588	5.953529282	45.35020909	44.50587965	68.64817098	85.44858865	42.01959568	41.38679065	70.4507074	73.41476274	49.06724676	39.25551777	63.27558746
LOC_Os01g01790	1673.130129	2599.609673	8006.372001	456.040343	925.6777973	784.1935994	1443.545342	1284.427206	879.7294075	728.7674006	1510.095598	1165.683184	942.7920984	769.9434509	1627.642804
LOC_Os01g01800	954.1071282	703.5922326	3195.091965	77.39588066	513.0798166	531.400203	471.835316	532.4796261	455.9573148	518.234596	536.0379911	532.7046809	440.72902	516.5669271	486.7352881
LOC_Os01g01830	2224.938478	1459.340285	6278.331395	192.8943487	1092.851117	1030.756173	899.1943523	1082.948429	998.6359229	853.8274854	851.5346373	853.2227914	1136.432483	959.9758437	922.8501063
LOC_Os01g01840	1.967231192	662.6857075	324.210245	5.953529282	0.889219786	0.890117593	68.64817098	251.8484718	0	0	306.3074235	130.7140898	0	0	54.51435227
LOC_Os01g01870	162.2965734	511.3315644	1237.67261	150.0289379	100.4818358	131.7374038	274.5926839	401.1586372	63.4764105	122.3609463	402.2837495	333.9476403	113.9061085	107.060503	187.8798212
LOC_Os01g01890	183.9361165	118.6289229	795.9361515	2.381411713	115.5985722	90.79199448	58.01253886	85.44858865	117.1184475	102.5672638	47.98816301	76.99597068	158.5923511	105.2761613	47.70005824
LOC_Os01g01910	144.5914926	97.15299724	560.0731983	59.53529282	67.58070374	151.3199908	52.21128497	109.733977	54.53607099	148.4526186	69.42968266	114.598654	89.37248516	115.9822116	60.35517573
LOC_Os01g01920	652.1371402	840.6290919	3102.692045	79.77729238	243.6462214	352.4865668	393.5183886	605.3357912	233.3428611	311.3006427	367.5689082	433.3261606	252.3458405	314.936313	315.4044667
LOC_Os01g01940	0.983615596	11.24929442	181.5577372	4.762823426	3.556879144	1.780235186	6.768129533	12.59242359	1.788067901	1.79942568	6.12614847	8.057717862	0.876200835	2.676512575	3.893882305
LOC_Os01g01960	6477.108701	4923.100302	20753.50831	819.2056292	3779.184091	3215.104746	3066.929554	3075.249733	3133.588997	2467.012608	3015.086072	2574.888508	3637.109666	2870.113652	3324.402018
LOC_Os01g01970	366.8886174	207.6006151	1287.925198	33.33976398	204.5205508	238.5515149	175.0044922	187.0874362	239.6010988	268.1144264	181.7424046	241.7315359	254.0982421	273.0042827	180.0920566
LOC_Os01g02000	174.0999605	43.97451454	801.6098308	5.953529282	76.4729016	144.1990501	25.13876684	38.6767296	68.8406142	120.5615206	34.71484133	19.69664366	92.00108767	135.6099705	14.60205864
LOC_Os01g02010	889.1884989	388.6119889	2052.250851	1.190705856	86.25431925	259.9143371	182.7394974	152.9080007	109.9661759	259.117298	140.9014148	139.6671096	121.7919161	343.4857805	160.6226451
LOC_Os01g02020	1754.770224	909.1475215	3526.59694	632.2648097	661.5795208	588.367729	379.0152539	404.7564725	556.0891173	568.618515	310.3915225	387.6657594	686.9414546	677.1576816	502.3108173
LOC_Os01g02040	453.4467898	302.7082861	1815.577372	9.525646851	257.873738	279.4969242	294.8970725	304.9165427	222.6144537	324.7963353	204.204949	315.1462986	314.5560997	421.1046452	256.0227616
