	DRS000419	DRS000420	DRS000668	DRS001349	DRS002153	DRS002154	DRS002155	DRS002156	DRS002157	DRS002158	DRS002159	DRS002160	DRS002161	DRS002162	DRS002163
LOC_Os01g01010	990.4626054	563.1900303	3687.204582	116.5419766	624.997867	584.5543266	343.5203761	592.5586273	533.5256229	452.0578175	623.4378852	585.5732282	586.4096091	478.0881716	608.9448477
LOC_Os01g01019	21.73725184	21.54814029	65.01616415	1.004672212	21.42317577	12.17821514	8.470365438	10.65056356	75.55170535	23.44698223	27.10599501	23.68823739	93.71419386	22.15080332	30.49344457
LOC_Os01g01030	405.4470016	175.3235051	1809.616569	30.14016637	214.2317577	188.2939417	100.7032335	121.0291314	239.7134355	201.6440472	62.62419536	103.280715	267.224632	202.1260803	67.45519557
LOC_Os01g01040	1799.466413	804.1374171	4794.44956	89.41582689	876.4873217	915.2397069	504.4573194	704.8736613	775.1045326	749.3655522	418.7408884	603.5762887	789.611673	860.1895288	443.541012
LOC_Os01g01050	845.8626258	401.5789781	2515.928534	156.7288651	450.8181336	399.0707422	241.8759908	351.4685976	399.2114801	363.8971643	224.3254759	304.1569681	465.7873794	402.4062603	223.6185935
LOC_Os01g01060	2065.984022	954.9743992	5589.41993	95.44386017	774.028655	866.5268464	459.2820371	610.9550553	702.3510386	724.0428114	373.8757932	504.0856916	877.758687	886.0321327	486.0470256
LOC_Os01g01070	495.2313027	319.3042606	2014.515995	43.20090513	330.6620608	350.3578817	207.0533774	275.9464196	527.9292003	585.2366765	423.4143358	538.1967535	598.4718321	622.0683932	393.6426481
LOC_Os01g01080	3698.168106	1450.581626	9685.438272	240.1166587	1449.324413	1888.560132	713.3930002	1130.896204	1389.778284	1857.938872	732.7965547	1047.967622	1551.387447	2017.569002	846.4240979
LOC_Os01g01115	47.25489529	31.34274951	227.5565745	1.004672212	29.80615759	42.15536009	26.35224803	35.82462289	28.91485019	28.13637868	21.49785811	31.26847335	23.19658264	37.84095567	24.02513815
LOC_Os01g01120	240.0548681	908.9397358	1747.555685	119.5559933	66.13241216	62.76464725	326.5796452	413.4355128	115.6594008	94.72580822	378.5492406	298.4717911	91.85846725	90.44911355	368.6934662
LOC_Os01g01130	353.4666168	206.6662546	1315.099684	34.15885522	201.1915638	210.7768005	126.1143299	182.9960467	124.9867718	145.3712898	95.33832727	131.7065999	136.3959059	168.8998753	119.201647
LOC_Os01g01150	1859.952679	1885.462275	10267.62847	357.6633076	1180.137552	1059.504717	1010.796942	1455.254276	1096.898833	733.4216043	1035.635947	1149.353278	1372.309829	847.2682269	1181.851988
LOC_Os01g01160	402.6117079	749.2876055	2569.123577	117.5466488	118.2931879	113.3510794	121.4085713	311.7710425	124.9867718	102.2288425	113.0974274	219.826843	124.3336829	87.68026313	103.4929028
LOC_Os01g01170	150.270567	86.19256116	444.2771217	13.06073876	95.93856975	55.27036101	46.11643405	51.31635171	63.42612301	52.5212402	31.77944242	51.16659276	100.209237	57.22290857	32.34153212
LOC_Os01g01190	206.9764414	108.7201624	1246.143146	1.004672212	65.20096973	61.82786147	62.11601321	60.03044917	75.55170535	104.1046011	27.10599501	21.7931784	65.87829469	103.3704155	51.7464514
LOC_Os01g01280	116.2470424	411.3735873	1756.421526	90.42049911	46.57212124	41.21857431	96.93862668	193.6466102	45.70411805	25.32274081	70.10171123	138.3393063	59.38325155	18.45900276	100.7207715
LOC_Os01g01295	489.5607153	322.2426434	2321.865135	54.25229946	269.1868608	234.196445	171.2896122	280.7875848	231.3188016	241.9728567	184.1338282	236.8823739	332.1750634	264.8866897	192.2011052
LOC_Os01g01302	372.3685749	1522.082273	3758.131307	84.39246583	169.5225213	95.55214954	732.2160345	680.667835	182.8164722	184.76222	779.5310288	691.6965317	224.5429199	97.83271465	820.5508722
LOC_Os01g01307	2546.093758	925.5905715	7117.299788	108.5045989	964.0429096	1108.217578	573.1613946	668.0808053	868.3782429	916.3080657	419.6755779	613.9991131	1031.783996	1024.474653	593.2361035
LOC_Os01g01312	1022.595934	445.6547196	3215.344845	68.31771044	579.3571882	515.2321789	238.111384	385.3567544	722.8712549	544.9078671	468.279431	618.7367606	758.0643206	664.5240995	519.3126015
LOC_Os01g01330	29.29803508	25.46598398	237.4075085	10.04672212	25.14894547	33.72428807	16.94073088	36.79285594	12.12558234	17.8197065	8.412205347	15.16047193	22.26871933	21.22785318	16.63278795
LOC_Os01g01340	651.1724572	2006.91543	6729.17299	2336.867566	1101.896389	992.9929266	2032.887705	3219.374895	1556.738225	2203.078451	1369.320093	2936.393907	1852.015158	1912.352686	1820.366237
LOC_Os01g01350	322.2783859	130.2683027	1198.858663	28.13082194	143.4421334	163.0007257	72.46868208	149.1078899	185.6146835	136.9303762	58.88543743	140.2343653	158.6646252	180.8982271	59.1388016
LOC_Os01g01360	256.1215325	278.1669019	1217.575438	129.6027154	106.1844364	103.9832216	75.29213723	166.5360848	95.13918451	45.95608518	76.64453761	121.2837754	134.5401793	55.37700829	93.32842127
LOC_Os01g01369	3001.630949	739.4929963	5626.853479	54.25229946	1400.889407	1268.407946	499.7515609	653.5573095	1217.221919	1033.542977	363.5942089	601.6812297	1320.349484	1076.159861	430.6043991
LOC_Os01g01380	181.4587979	121.4531544	792.0150906	7.032705486	172.3168486	168.6214404	111.9970541	127.8067628	61.5606488	42.20456802	34.58351087	67.27459418	66.806158	41.53275622	31.41748835
LOC_Os01g01390	771.1998912	556.3338038	3716.757384	119.5559933	298.9930184	346.6107385	295.5216386	536.4011103	317.130615	313.2516826	239.2805076	454.8141579	322.8964303	359.9505539	258.732257
LOC_Os01g01400	27.40783927	8.8151483	105.4049934	2.009344425	21.42317577	23.4196445	9.411517153	12.58702967	27.04937599	20.63334437	5.608136898	12.31788344	27.83589917	23.07375346	12.01256907
LOC_Os01g01410	538.7058064	407.4557436	3320.749839	73.3410715	224.4776244	300.7082353	239.9936874	410.5308137	249.9735436	262.606201	193.480723	394.1722701	295.9883945	259.3489888	265.2005634
LOC_Os01g01420	1171.921403	1343.820385	5396.341625	260.210103	556.0711276	564.8818252	645.6300767	778.4593731	571.7678442	616.1866931	675.7804962	786.4494813	608.6783284	590.6880885	713.3617943
LOC_Os01g01430	252.3411409	35.2605932	572.3392632	0	141.5792486	198.5985853	9.411517153	22.26936018	69.02254563	104.1046011	5.608136898	50.21906326	86.29128741	90.44911355	10.16448152
LOC_Os01g01450	4350.285661	2809.093925	13954.83305	298.3876471	1192.246304	1913.853348	1093.618293	1800.913475	974.7102727	1473.408364	775.7922709	1210.942695	964.9778378	1600.39554	798.3738216
LOC_Os01g01484	560.4430582	911.8781186	3084.327424	114.5326322	312.9646547	303.5185927	554.3383603	528.6552459	218.2604821	215.7122365	442.1081255	355.3235608	258.8738622	218.7391828	447.2371871
LOC_Os01g01510	1265.486096	441.7368759	4447.696684	61.28500495	648.2839276	682.9168335	276.6986043	492.830623	571.7678442	464.2502482	200.0235494	366.6939148	693.1138892	646.9880469	280.9093076
LOC_Os01g01520	1471.517439	245.8446915	2316.939668	16.0747554	740.4967277	664.1811179	143.9962124	140.3937924	452.377495	336.6986649	40.19164777	62.53694671	533.5214007	294.4210941	55.4426265
LOC_Os01g01570	88.83920315	44.0757415	468.9044566	21.09811646	31.66904244	29.97714495	15.05842745	24.20582628	13.05831944	10.31667218	8.412205347	9.475294955	13.91794958	7.383601106	12.93661285
LOC_Os01g01580	6.615685341	3.917843689	39.40373585	1.004672212	6.520096973	1.87357156	0.941151715	1.936466102	1.865474206	0	2.804068449	3.790117982	4.639316528	4.614750691	0.924043775
LOC_Os01g01600	35.91372042	24.48652306	235.4373217	1.004672212	11.1773091	17.79892982	16.94073088	19.36466102	13.05831944	21.57122365	7.477515864	8.52776546	22.26871933	25.84260387	7.3923502
LOC_Os01g01610	49.14509111	56.80873349	471.8597368	4.018688849	21.42317577	36.53464541	22.58764117	38.72932205	8.394633927	28.13637868	23.36723708	35.05859134	9.278633055	32.30325484	28.64535702
LOC_Os01g01620	2116.074211	1088.181085	5978.531822	224.0419033	966.8372369	903.9982775	709.6283934	694.2230977	751.7861051	680.9003641	668.3029804	570.4127563	670.8451699	800.1977699	713.3617943
LOC_Os01g01640	1434.658621	670.9307317	4592.505413	89.41582689	541.1680488	710.0836211	378.3429896	524.7823137	350.7091507	407.0396116	237.4111287	397.0148586	408.2598544	500.2389749	290.1497453
LOC_Os01g01650	103.9607696	1316.395479	3147.373401	1.004672212	18.6288485	69.32214771	439.5178511	605.145657	1.865474206	9.378792893	153.2890752	203.7188415	6.495043139	16.61310249	191.2770614
LOC_Os01g01660	335.5097566	628.8139121	5826.827439	46.21492177	29.80615759	212.650372	246.5817494	414.4037459	27.98211309	137.8682555	50.47323208	125.0738934	30.61948908	220.585083	114.5814281
LOC_Os01g01670	282.5842739	110.6790842	1972.156979	27.12614973	130.4019395	167.6846546	69.64522694	135.5526272	163.228993	141.6197727	67.29764278	155.3948373	190.2119776	190.1277285	89.63224617
LOC_Os01g01680	84.11371362	60.72657718	375.320584	10.04672212	28.87471517	24.35643028	25.41109631	34.85638984	18.65474206	25.32274081	18.69378966	48.32400427	28.76376247	16.61310249	31.41748835
LOC_Os01g01689	1359.995887	753.2054492	9098.322608	171.7989483	1154.988607	966.7629248	779.2736203	1178.339623	944.8626854	603.9942623	485.1038417	615.8941721	1116.219557	748.5125621	559.0464839
LOC_Os01g01700	1870.348756	779.6508941	5559.867128	114.5326322	626.8607519	673.5489757	361.4022587	498.6400214	608.1445912	653.7018647	311.2515978	498.4005147	666.2058534	657.1404984	340.0481092
LOC_Os01g01710	2248.387918	4052.029835	13525.33233	369.7193741	864.3785702	1274.965446	1617.839799	2046.84467	876.7728769	1362.738607	1960.978535	1900.744168	910.2339027	1015.245152	1753.835085
LOC_Os01g01720	832.6312551	576.9024832	3435.020673	107.4999267	445.229479	513.3586074	381.1664447	449.2601357	461.704866	525.212402	435.5652991	474.7122773	488.0560987	521.4668281	474.9585003
LOC_Os01g01740	483.8901278	143.0012946	2099.234027	26.12147752	227.2719516	285.7196629	150.5842745	174.2819492	253.704492	223.2152709	108.42398	192.3484876	261.6574522	261.1948891	143.2267851
LOC_Os01g01780	64.2666576	81.29525654	536.875901	5.023361061	47.50356366	46.83928899	66.82177179	91.98213986	43.83864384	43.14244731	64.49357433	77.69741863	51.96034511	40.60980608	60.06284537
LOC_Os01g01790	1607.611538	2489.789664	9730.752568	384.7894573	969.6315642	825.308272	1405.139511	1382.636797	917.8133094	759.6822244	1382.405745	1233.683403	998.3809168	796.5059693	1545.001192
LOC_Os01g01800	916.7449687	673.8691145	3883.238168	65.3036938	537.4422791	559.2611106	459.2820371	573.1939663	475.6959226	540.2184707	490.7119786	563.7800498	466.7152427	534.38813	462.0218875
LOC_Os01g01830	2137.811463	1397.690736	7630.533447	162.7568984	1144.74274	1084.797933	875.2710953	1165.752594	1041.867344	890.0474456	779.5310288	902.9956093	1203.438707	993.0943487	875.9934987
LOC_Os01g01840	1.890195812	634.6906776	394.0373585	5.023361061	0.931442425	0.93678578	66.82177179	271.1052543	0	0	280.4068449	138.3393063	0	0	51.7464514
LOC_Os01g01870	155.9411545	489.7304611	1504.237616	126.5886987	105.252994	138.6442954	267.2870872	431.8319408	66.22433432	127.5515834	368.2676563	353.4285018	120.6222297	110.7540166	178.3404486
LOC_Os01g01890	176.7333084	113.617467	967.3617151	2.009344425	121.0875152	95.55214954	56.46910292	91.98213986	122.1885605	106.918239	43.9304057	81.48753662	167.9432583	108.9081163	45.27814497
LOC_Os01g01910	138.9293922	93.04878761	680.6995368	50.23361061	70.78962428	159.2535826	50.82219263	118.1244322	56.89696329	154.7500827	63.55888484	121.2837754	94.64205716	119.983518	57.29071405
LOC_Os01g01920	626.5999116	805.1168781	3770.937521	67.31303822	255.2152244	370.9671688	383.0487481	651.6208434	243.4443839	324.5062341	336.4882139	458.6042758	267.224632	325.8013988	299.3901831
LOC_Os01g01940	0.945097906	10.77407014	220.6609208	4.018688849	3.725769699	1.87357156	6.588062007	13.55526272	1.865474206	1.875758579	5.608136898	8.52776546	0.927863306	2.768850415	3.6961751
LOC_Os01g01960	6223.46971	4715.12488	25223.31641	691.2144821	3958.630305	3383.670237	2985.333241	3310.388802	3269.243546	2571.665011	2760.138043	2725.094829	3851.560581	2969.130595	3155.609491
LOC_Os01g01970	352.5215189	198.8305672	1565.313407	28.13082194	214.2317577	251.058589	170.3484605	201.3924746	249.9735436	279.4880282	166.374728	255.8329638	269.0803586	282.4227423	170.9480984
LOC_Os01g02000	167.2823293	42.11681966	974.2573689	5.023361061	80.10404853	151.7592963	24.4699446	41.6340212	71.82075693	125.6758248	31.77944242	20.8456489	97.42564708	140.288421	13.86065662
LOC_Os01g02010	854.3685069	372.1951504	2494.256479	1.004672212	90.3499152	273.5414477	177.8776742	164.5996187	114.7266637	270.1092353	128.9871487	147.8146013	128.9729995	355.3358032	152.4672229
LOC_Os01g02020	1686.054664	870.7407599	4286.141367	533.4809447	692.993164	619.2154005	368.9314724	435.704873	580.1624781	592.7397109	284.1456028	410.2802716	727.4448315	700.5191549	476.8065879
LOC_Os01g02040	435.6901346	289.920433	2206.609208	8.037377698	270.1183032	294.1507349	287.0512732	328.2310043	232.2515387	338.5744235	186.9378966	333.5303824	333.1029267	435.6324652	243.0235128
LOC_Os01g02050	22.68234974	35.2605932	3707.891544	4.018688849	11.1773091	21.54607294	16.94073088	29.04699154	10.26010813	6.565155025	19.62847914	29.37341436	21.34085603	31.3803047	14.7847004
LOC_Os01g02060	34.96862252	395.7022126	1731.794191	3.014016637	21.42317577	16.86214404	270.1105423	388.2614535	27.04937599	17.8197065	198.1541704	391.3296817	19.48512942	26.76555401	212.5300682
LOC_Os01g02080	127.5882173	590.6149361	1464.83388	295.3736304	58.68087276	49.64964633	246.5817494	296.2793137	124.9867718	110.6697561	362.6595194	306.0520271	128.9729995	53.53110802	347.4404594
LOC_Os01g02090	2875.932928	1832.571385	12446.65506	373.738063	1550.851637	1377.075096	1037.14919	1382.636797	1410.2985	1237.062783	969.2729939	1233.683403	1662.731044	1406.576011	1164.295156
LOC_Os01g02100	431.909743	365.338924	2361.268871	73.3410715	275.7069577	240.7539454	214.5825911	329.1992374	246.2425952	186.6379786	210.3051337	241.6200214	295.0605312	210.4326315	244.8716004
LOC_Os01g02130	97.34508431	24.48652306	283.7068981	2.009344425	27.01183032	18.7357156	21.64648945	6.777631358	17.72200496	26.2606201	57.01605846	38.84870932	44.53743867	49.83930747	36.961751
LOC_Os01g02139	468.7685613	281.1052847	1358.443793	9.042049911	180.6998304	257.6160895	116.7028127	222.6936018	190.278369	354.5183714	118.7055643	267.2033177	231.0379631	351.6440027	164.4797919
LOC_Os01g02150	1928.944826	1119.523834	5526.373953	23.10746088	585.8772852	825.308272	439.5178511	673.8902036	602.5481686	1002.59296	520.622042	808.2426597	666.2058534	1046.625457	529.4770831
LOC_Os01g02160	124.7529236	5.876765533	596.9665981	0	25.14894547	50.58643211	0	4.841165256	45.70411805	76.90610173	1.869378966	3.790117982	42.68171205	94.1409141	7.3923502
LOC_Os01g02170	237.2195744	100.884475	1162.410208	29.13549416	92.21280005	74.00607661	35.76376518	55.18928392	55.96422618	66.58942954	17.75910018	36.95365033	76.08479105	65.52945982	32.34153212
LOC_Os01g02180	488.6156173	211.5635592	2463.718584	53.24762725	302.7187881	287.5932344	126.1143299	220.7571357	396.4132688	353.5804921	159.8319016	276.6786127	468.5709693	372.8718558	208.8338931
LOC_Os01g02200	1421.42725	911.8781186	5321.474527	175.8176372	957.5228127	1115.711864	560.9264223	747.4759155	1109.957153	1112.324837	457.9978467	645.2675865	1074.465708	1073.391011	669.0076931
LOC_Os01g02290	176.7333084	77.37741286	1171.276048	7.032705486	199.3286789	104.9200073	121.4085713	38.72932205	213.5967966	135.992497	146.7462488	52.11412225	299.6998477	210.4326315	156.163398
LOC_Os01g02300	100.180378	37.21951504	907.271018	3.014016637	95.00712733	84.31072019	134.5846953	35.82462289	175.3545754	161.3152378	173.8522438	53.06165175	210.6249704	225.1998337	187.5808863
LOC_Os01g02310	67.10195132	98.92555314	525.0547802	36.16819964	47.50356366	74.00607661	41.41067548	122.9655975	24.25116468	55.33487807	4.673447415	15.16047193	37.11453222	39.68685594	1.84808755
LOC_Os01g02320	256.1215325	239.9679259	1719.97307	42.19623292	206.7802183	192.0410849	169.4073088	237.2170975	143.6415139	137.8682555	70.10171123	122.2313049	182.7890712	160.5933241	68.37923935
LOC_Os01g02334	200.3607561	93.04878761	723.0585529	2.009344425	97.8014546	86.18429175	49.88104091	58.09398307	96.07192161	113.483394	105.6199116	77.69741863	128.0451362	143.9802216	48.97432007
LOC_Os01g02350	553.8273729	114.5969279	1459.908413	14.06541097	328.7991759	380.3350266	74.35098551	129.7432289	249.0408065	196.0167715	50.47323208	77.69741863	319.1849771	310.1112464	78.54372087
LOC_Os01g02360	157.8313503	83.25417839	749.6560746	16.0747554	111.773091	94.61536376	70.58637865	84.23627545	98.87013292	45.95608518	42.99571622	44.53388629	119.6943664	97.83271465	53.59453895
LOC_Os01g02370	0.945097906	102.8433968	597.9516915	11.05139434	2.794327274	0	43.29297891	174.2819492	0	0	0	0	0	0	0
LOC_Os01g02390	996.1331928	483.8536956	2047.024077	81.3784492	652.0096973	347.5475243	258.8167217	219.7889026	388.951372	251.3516495	214.0438916	301.3143796	508.4690914	326.7243489	241.1754253
LOC_Os01g02400	196.5803644	454.4698679	1652.001626	65.3036938	165.7967516	106.7935789	351.0495898	306.9298772	68.08980852	58.14851594	118.7055643	150.6571898	94.64205716	66.45240995	147.847004
LOC_Os01g02420	58.59607017	57.78819441	444.2771217	1.004672212	47.50356366	44.02893165	36.7049169	38.72932205	59.6951746	48.76972305	33.64882139	37.90117982	40.82598544	43.3786565	32.34153212
LOC_Os01g02430	3.780391624	6.856226456	61.07579057	0	8.382981823	3.747143119	1.882303431	2.904699154	4.663685515	0.937879289	1.869378966	0	4.639316528	0	0.924043775
LOC_Os01g02470	3.780391624	9.794609222	64.03107076	3.014016637	6.520096973	7.494286239	3.764606861	10.65056356	5.596422618	4.689396447	7.477515864	10.42282445	8.35076975	4.614750691	10.16448152
LOC_Os01g02490	11.34117487	88.151483	689.5653774	11.05139434	15.83452122	14.0517867	75.29213723	98.75977122	2.798211309	2.813637868	6.542826381	9.475294955	0.927863306	0	3.6961751
LOC_Os01g02500	142.7097838	95.98717038	982.1381161	60.28033274	137.8534789	97.4257211	81.88019924	99.72800427	14.92379365	9.378792893	14.02034225	24.63576688	17.62940281	11.07540166	22.1770506
LOC_Os01g02520	16.0666644	10.77407014	109.345367	15.07008318	13.97163637	16.86214404	9.411517153	24.20582628	0	0	0	0	0	0	0
LOC_Os01g02530	30.24313299	21.54814029	111.3155538	4.018688849	17.69740607	12.17821514	12.2349723	10.65056356	0	0	0	0	0	0	0
LOC_Os01g02550	18.90195812	47.99358519	177.3168113	2.009344425	14.9030788	14.0517867	38.58722033	144.2667246	0.932737103	0	13.08565276	33.16353234	0	0	6.468306425
LOC_Os01g02560	51.98038482	152.7959039	653.1169217	1.004672212	47.50356366	25.29321606	191.0537982	273.0417204	0	0	22.43254759	22.74070789	0	0	7.3923502
LOC_Os01g02570	0	87.17202208	741.7753274	1.004672212	0.931442425	0	56.46910292	94.88683901	15.85653075	12.19243076	90.66487985	234.0397854	18.55726611	12.92130194	98.87268392
LOC_Os01g02580	1.890195812	72.48010824	386.1566113	2.009344425	0.931442425	0	39.52837204	99.72800427	7.461896824	3.751517157	95.33832727	191.4009581	8.35076975	1.845900276	36.03770722
LOC_Os01g02590	292.9803508	177.2824269	930.9132595	14.06541097	157.4137698	226.7021587	98.82093011	168.4725509	65.29159721	58.14851594	78.51391657	123.1788344	92.78633055	77.52781161	73.923502
LOC_Os01g02600	119.0823361	173.3645832	744.7306076	3.014016637	48.43500609	61.82786147	62.11601321	129.7432289	85.81181348	86.28489462	108.42398	179.0830747	113.1993233	134.7507202	86.86011485
LOC_Os01g02690	32.1333288	31.34274951	298.4832991	2.009344425	26.08038789	23.4196445	23.52879288	31.95169069	0	0	0	0	0	0	0
LOC_Os01g02700	24.57254555	328.1194089	799.8958378	42.19623292	5.588654549	9.367857798	75.29213723	203.3289407	18.65474206	12.19243076	101.8811536	198.0336646	20.41299272	19.3819529	151.5431791
LOC_Os01g02710	37.80391624	374.1540723	1059.960494	31.14483858	5.588654549	18.7357156	60.23370978	224.6300679	22.38569047	10.31667218	46.73447415	175.2929567	12.06222297	13.84425207	48.97432007
LOC_Os01g02720	699.3724504	465.2439381	4519.608502	148.6914874	455.4753457	464.6457468	369.8726241	541.2422756	537.2565714	498.9517819	428.0877832	488.9252197	635.5863643	473.4734209	450.9333622
LOC_Os01g02730	68.04704922	64.64442087	599.9218783	7.032705486	40.05202427	36.53464541	27.29339975	12.58702967	174.4218383	162.2531171	81.31798502	107.070833	199.4906107	170.7457756	105.3409903
LOC_Os01g02740	85.05881153	47.99358519	279.7665245	14.06541097	25.14894547	14.98857248	23.52879288	12.58702967	0	0	0.934689483	0	0	0	0
