	DRS000419	DRS000420	DRS000668	DRS001349	DRS002153	DRS002154	DRS002155	DRS002156	DRS002157	DRS002158	DRS002159	DRS002160	DRS002161	DRS002162	DRS002163
LOC_Os01g01010	7.574029495	7.662485021	7.746797845	7.927005972	7.904671516	7.815291769	7.629619479	8.062228149	7.792679731	7.67258211	8.481486979	8.196839301	7.770499619	7.612988327	8.235391669
LOC_Os01g01019	4.665784558	4.9063616	4.640360172	4.481531537	4.944204443	4.714580221	4.721237634	4.731464254	5.761427484	5.054345822	5.309638157	5.141567337	5.844108647	4.975366423	5.2811451
LOC_Os01g01030	6.565238406	6.363381797	6.908297205	6.389161377	6.657348292	6.519782133	6.279782616	6.263995519	6.851721549	6.739369974	5.917706668	6.224322296	6.847743469	6.631626085	5.843026164
LOC_Os01g01040	8.329938406	8.111175775	8.078507328	7.597183258	8.339529941	8.390707388	8.112928232	8.286414758	8.269302441	8.315151342	7.965770304	8.236080973	8.147894026	8.358902708	7.83079471
LOC_Os01g01050	7.383735514	7.255907138	7.284166672	8.307875967	7.500610848	7.349575508	7.210041618	7.414325255	7.437379357	7.40904339	7.205086793	7.380737636	7.487867687	7.404426944	7.013326406
LOC_Os01g01060	8.511470335	8.33403737	8.276720252	7.677347377	8.177939521	8.319130357	7.992911274	8.101434161	8.141681054	8.270355377	7.82281583	8.004409711	8.285034998	8.397702215	7.946173045
LOC_Os01g01070	6.775636435	6.993088453	7.028079187	6.759161149	7.134916563	7.196873636	7.031900838	7.130679822	7.779516175	7.996346241	7.979871671	8.088126923	7.795909368	7.941199659	7.682268792
LOC_Os01g01080	9.296653526	8.889602232	9.008306445	8.874143917	9.010111159	9.365926859	8.565782011	8.914180388	9.046922139	9.539436187	8.696094936	8.968635009	9.043822899	9.50900241	8.668931546
LOC_Os01g01115	4.974159167	5.086349342	5.179131773	4.481531537	5.107216995	5.302683624	5.249780158	5.314157926	5.127917263	5.15058263	5.173622434	5.302112684	4.960986362	5.260292705	5.144150927
LOC_Os01g01120	6.063105081	8.269615783	6.869889293	7.959360768	5.607830529	5.566948539	7.567748905	7.61094106	6.121824142	6.005860019	7.838391807	7.358303252	5.82784566	5.878064599	7.601770293
LOC_Os01g01130	6.426752766	6.527225295	6.567789065	6.514067698	6.591951416	6.635951148	6.500588618	6.677966229	6.192853637	6.403223646	6.295342639	6.459701294	6.169839735	6.448389112	6.3520895
LOC_Os01g01150	8.373195887	9.246004547	9.087595053	9.417345617	8.733229208	8.58389826	9.03362156	9.257194375	8.72778441	8.287109931	9.163389844	9.093982205	8.877848015	8.339102606	9.119167453
LOC_Os01g01160	6.558038042	8.020701335	7.308793415	7.937872411	6.079976342	6.038459462	6.462339603	7.272344274	6.192853637	6.072917183	6.462490201	7.004647468	6.085864239	5.85247542	6.217467939
LOC_Os01g01170	5.677915946	5.74005725	5.610710733	5.663573436	5.899121434	5.478004949	5.62045556	5.552674235	5.627905509	5.541358266	5.410750962	5.635140486	5.899405658	5.52817438	5.317101017
LOC_Os01g01190	5.934609795	5.928584083	6.512814072	4.481531537	5.59747701	5.556203685	5.851996312	5.667546429	5.761427484	6.089149023	5.309638157	5.096929608	5.573689472	5.99101881	5.63653774
LOC_Os01g01280	5.492399493	7.284163165	6.87544149	7.610861251	5.367648004	5.288980703	6.243727687	6.737980972	5.400087873	5.094043718	6.014283374	6.509157218	5.500499815	4.892694787	6.192219875
LOC_Os01g01295	6.763258408	7.003373539	7.190496863	7.009525292	6.903209961	6.747321346	6.821783327	7.150676911	6.812917114	6.938032113	6.97990162	7.089250265	7.090679225	6.922528909	6.845463724
LOC_Os01g01302	6.478763826	8.954599363	7.770516348	7.526748439	6.418688823	5.892270808	8.600355147	8.240973304	6.564448256	6.646914926	8.778864759	8.414050835	6.661333454	5.943844271	8.627566916
LOC_Os01g01307	8.789886364	8.293252346	8.594596108	7.836967078	8.464525329	8.643677273	8.278125027	8.216762451	8.417890383	8.579934103	7.968601716	8.258318675	8.497111648	8.589398005	8.20151773
LOC_Os01g01312	7.613067057	7.378835537	7.578084525	7.274532621	7.809352916	7.658517391	7.191835526	7.5252031	8.178841344	7.905809116	8.108614876	8.268313901	8.095440501	8.02515563	8.030394957
LOC_Os01g01330	4.771420972	4.982915103	5.203122262	5.475523204	5.020387183	5.172132338	5.011850252	5.330709149	4.739284257	4.923278399	4.744414183	4.920583412	4.942143257	4.955457218	4.958580791
LOC_Os01g01340	7.078899357	9.331588542	8.520264817	12.06791129	8.641632993	8.4980429	9.997865881	10.36170833	9.201497449	9.775726718	9.547125185	10.39611659	9.285530281	9.435126229	9.713726162
LOC_Os01g01350	6.336278436	6.085752053	6.47378802	6.322068535	6.257089379	6.375977143	5.981478261	6.467371087	6.580073829	6.344753194	5.866489287	6.522962288	6.312015756	6.517440741	5.738120396
LOC_Os01g01360	6.12115843	6.840519182	6.489370507	8.062214478	5.985216774	5.963625214	6.014602664	6.579727803	5.950288398	5.449348196	6.093178462	6.378127198	6.157267753	5.505304764	6.12240959
LOC_Os01g01369	9.012004459	8.003926111	8.285411144	7.009525292	8.96406113	8.82438677	8.100885352	8.188309424	8.867555119	8.740450557	7.78793879	8.23200046	8.825876441	8.654883171	7.793747051
LOC_Os01g01380	5.825682251	6.023775684	6.080473836	5.248893348	6.434900735	6.409285804	6.382427442	6.315993773	5.605957574	5.393125145	5.467168339	5.848500898	5.583773191	5.316767633	5.299278994
LOC_Os01g01390	7.274474084	7.647404631	7.756728504	7.959360768	7.020345183	7.184413362	7.446815527	7.935442856	7.166346882	7.232076954	7.28045979	7.874125132	7.058452776	7.272432041	7.17981235
LOC_Os01g01400	4.746519566	4.583476959	4.812661342	4.679970973	4.944204443	4.983871746	4.759660678	4.794108073	5.092473513	4.991300624	4.609106959	4.831886034	5.049457003	4.994821512	4.817954586
LOC_Os01g01410	6.867028926	7.272928502	7.617542976	7.358276908	6.706630297	7.022075254	7.200967973	7.602307425	6.897722532	7.029671367	7.035587739	7.695529636	6.960571128	6.899180019	7.20844115
LOC_Os01g01420	7.781636932	8.786737565	8.231038027	8.982736774	7.758155116	7.772524116	8.433944248	8.416332581	7.879523115	8.062140761	8.58820702	8.583620707	7.817062293	7.875816889	8.44226539
LOC_Os01g01430	6.10773122	5.149324094	5.805134404	3.994758419	6.244759152	6.574256618	4.759660678	5.048093008	5.691393072	6.089149023	4.609106959	5.621319874	5.777724076	5.878064599	4.753527635
